Label,Type,CLO_C,CLO_M,CL_C,CL_M,UBERON_C,UBERON_M,BTO_C,BTO_M
GM10266_male_B-cells,CL,GM10266 cell,-,B cell,lymphocyte of B lineage,blood,blood,B-lymphoblastoid cell line,B-lymphoblastoid cell line
WA01,CL,-,-,embryonic stem cell,embryonic stem cell,embryo,inner cell mass,WA-01 cell,WA-01 cell
A549 TGFb,CL,A549 cell,-,epithelial cell of lung,epithelial cell of lung,lung,pulmonary alveolus epithelium,A-549 cell,A549-CR cell
small-cell gastrointestinal carcinoma cell line:ECC4,CL,RCB0982 cell,SCC-4 cell,epithelial cell of large intestine,neuroendocrine cell,rectum,alimentary part of gastrointestinal system,-,RCC-4 cell
GM19239_male_B-cells_lymphoblastoid_cell_line,CL,GM19239 cell,-,B cell,"lymphocyte of B lineage, CD19-positive",blood,blood,EBV-LCL cell,EBV-LCL cell
MDA-MB-361,CL,MDA-MB-361 cell,-,mammary gland epithelial cell,mammary gland epithelial cell,breast,mammary gland,MDA-MB-361 cell,MDA-MB-361 cell
CAPAN1,CL,Capan-1 cell,immortal human pancreas-derived cell line cell,pancreatic ductal cell,pancreatic ductal cell,exocrine pancreas,exocrine pancreas,CAPAN-1 cell,CAPAN-1 cell
MCF7L-P,CL,MCF7 cell,MCF7 cell,mammary gland epithelial cell,-,breast,mammary gland,MCF-7 cell,MCF-7 cell
HFL-1,CL,HFL cell,HFL1 cell,fibroblast of lung,fibroblast of lung,lung,lung,HFL-1 cell,HFL-1 cell
leiomyoblastoma cell line:G-402,CL,G-402 cell,-,kidney cell,smooth muscle cell,kidney,-,G-402 cell,G-402 cell
GM18508,CL,GM18508 cell,-,B cell,B-lymphoblast,blood,lymph node B cell domain,B-lymphoblastoid cell line,B-lymphoblastoid cell line
Hep-3B2-1-7,CL,Hep 3B2.1-7 cell,Hep 3B2.1-7 cell,hepatocyte,hepatocyte,liver,liver,HEP-3B2 cell,HEP-3B2 cell
RWPE1,CL,RWPE-1 cell,RWPE-1 cell,epithelial cell of prostate,epithelial cell of prostate,prostate gland,prostate gland,RWPE-1 cell,RWPE-1 cell
C666-1,CL,-,-,nasopharyngeal epithelial cell,nasopharyngeal epithelial cell,nasopharynx,nasopharynx,C666-1 cell,C666-1 cell
SKNDZ,CL,SK-N-DZ cell,-,neuroblast (sensu Vertebrata),malignant cell,brain,adrenal medulla,SK-N-DZ cell,SK-N-DZ cell
MDA-MB-231p27CK-DD_breast_cancer_cells_phosphimimetic_p27_cell_line,CL,MDA-MB-231 cell,-,mammary gland epithelial cell,mammary gland epithelial cell,breast,mammary gland,MDA-MB-231 cell,MDA-MB-231 cell
MCF7_Invasive_ductal_breast_carcinoma,CL,MCF7 cell,MCF7 cell,mammary gland epithelial cell,mammary gland epithelial cell,breast,mammary gland,MCF-7 cell,MCF-7 cell
HEK,CL,-,HEK293H-derived cell,kidney cell,kidney cell,kidney,kidney rudiment,embryonic kidney cell line,HEK-293T cell
TC32,CL,-,TC86P cell,malignant cell,malignant cell,musculoskeletal system,supraneural 5 bone,TC-32 cell,TC-32 cell
GM20000_B-cells,CL,GM20000 cell,GM20000 cell,B cell,lymphocyte of B lineage,blood,blood,-,-
iPSC,CL,induced pluripotent stem cell line cell,induced pluripotent stem cell line cell,pluripotent stem cell,pluripotent stem cell,-,-,pluripotent stem cell,pluripotent stem cell
acute myeloid leukemia (FAB M2) cell line:NKM-1,CL,NKM-1 cell,NKM-1 cell,myeloid cell,myeloid cell,blood,bone marrow,-,SKM-1 cell
A549_dexamethasone_8h,CL,A549 cell,-,epithelial cell of lung,epithelial cell of lung,lung,pulmonary alveolus epithelium,A-549 cell,A549-CR cell
SET-2_WT_GSK-LSD1,CL,-,-,megakaryocyte progenitor cell,megakaryocyte progenitor cell,bone marrow,hematopoietic tissue,SET-2 cell,SET-2 cell
adrenal cortex adenocarcinoma cell line:SW-13,CL,SW-13 cell,-,adrenal gland glandular cell,adrenal gland glandular cell,adrenal gland cortex zone,adrenal gland cortex zone,-,SW-1116 cell
KYSE-70,CL,KYSE-70 cell,KYSE-70 cell,squamous epithelial cell,squamous epithelial cell,esophagus,esophagus,-,KYSE-150 cell
NCI-H441,CL,NCI-H441 cell,NCI-H441 cell,club cell,obsolete epithelial cell of alveolus of lung,lung,lung,NCI-H441 cell,NCI-H441 cell
BEAS-2B,CL,BEAS-2B cell,BEAS-2B cell,bronchial epithelial cell,bronchial epithelial cell,bronchus,bronchus,BEAS-2B/BBM cell,BEAS-2B/BBM cell
SNF02.2_PRC2 WT,CL,-,-,Schwann cell,-,peripheral nervous system,-,-,-
TTC1240_SMARCB1_delCC,CL,-,-,kidney cell,malignant cell,kidney,-,-,TT2 ES cell
P493,CL,-,PS 45 cell,B cell,-,blood,-,P493-6 cell,P493-6 cell
226LDM,CL,-,-,luminal epithelial cell of mammary gland,-,breast,-,-,HO-8910PM
HCT116_IFN-beta_1h,CL,HCT 116 cell,-,colon epithelial cell,colon epithelial cell,colon,large intestine,HCT-116 cell,colorectal adenocarcinoma cell line
H54,CL,-,-,glial cell,H plus,brain,-,-,-
David_TC71,CL,TC-71 cell,TC-71 cell,bone cell,-,bone tissue,bone tissue,TC-71 cell,TC-71 cell
CD4_CD25-_T-cells,CL,-,-,T cell,T cell,blood,T cell domain,-,-
GM10248,CL,GM10248 cell,-,B cell,B-lymphoblast,blood,blood,B-lymphoblastoid cell line,B-lymphoblastoid cell line
WSU-DLCL2,CL,WSU-DLCL2 cell,WSU-DLCL2 cell,B cell,"lymphocyte of B lineage, CD19-positive",blood,lymph node,-,WSS-1 cell
A-498,CL,A-498 cell,A-498 cell,kidney cell,renal cortical epithelial cell,kidney,kidney,renal cell carcinoma cell line,renal cell carcinoma cell line
Ramos,CL,RAMOS cell,-,B cell,B cell,blood,lymphoid tissue,RAMOS (RA.1) cell,RAMOS (RA.1) cell
SK-N-DZ,CL,SK-N-DZ cell,ND04853 cell,neuroblast (sensu Vertebrata),malignant cell,brain,sympathetic nervous system,SK-N-DZ cell,SK-N-DZ cell
hereditary spherocytic anemia cell line:WIL2-NS,CL,WIL2-NS cell,-,lymphocyte of B lineage,lymphocyte of B lineage,spleen,venous blood,WIL2-NS cell,WIL2-NS cell
K562_myelogenous_leukemia_NABUT,CL,K-562 cell,K-562 cell,myeloid cell,myeloid cell,bone marrow,blood,K-562 cell,K-562 cell
Calu-1,CL,Calu-1 cell,Calu-1 cell,squamous epithelial cell,squamous epithelial cell,lung,lung epithelium,Calu-1 cell,Calu-1 cell
A139_ER-_PR-_HER2-_breast_cancer_cells,CL,-,-,mammary gland epithelial cell,-,breast,mammary gland,-,Me4405 cell
DLD,CL,DLD-1 cell,immortal human colon-derived cell line cell,colon epithelial cell,colon epithelial cell,colon,large intestine,DLD-1 cell,colorectal adenocarcinoma cell line
Jurkat_E6_1_T-cells,CL,JURKAT cell,"Jurkat, Clone E6-1 cell",T cell,"CD4-positive, alpha-beta T cell",blood,blood,JURKAT cell,JURKAT cell
NCI-H69_p8-15,CL,NCI-H69 cell,ND10932 cell,epithelial cell of lung,pulmonary neuroendocrine cell,lung,pleural effusion,NCI-H69 cell,NCI-H69 cell
mesothelioma cell line:Mero-48a,CL,-,-,mesothelial cell,mesothelial cell,lung,mesothelium of pleural cavity,-,-
GM-6114,CL,GM06114 cell,-,fibroblast of lung,fibroblast of lung,lung,venous blood,B-lymphoblastoid cell line,B-lymphoblastoid cell line
WA01_H1_human_embryonic_stem_cells_EMB,CL,-,-,embryonic stem cell,embryonic stem cell,embryo,embryo,WA-01 cell,WA-01 cell
MRC-5_MRC5_1DPT,CL,MRC-5 cell,MRC-5 cell,fibroblast of lung,fibroblast of lung,lung,lung,MRC-5 cell,MRC-5 cell
CRC107_colorectal_cancer_metastatic_stem_cells,CL,-,-,stem cell,stem cell,colon,colorectum,-,-
KG-1,CL,KG-1 cell,-,macrophage,myeloblast,bone marrow,bone marrow,KG-1 cell,KG-1 cell
KYSE150,CL,KYSE-150 cell,GM15098 cell,squamous epithelial cell,squamous epithelial cell,esophagus,esophagus,KYSE-150 cell,KYSE-150 cell
BJEL,CL,-,BJeH cell,foreskin fibroblast,Bm5 B cell,prepuce of penis,-,-,BJAB cell
AGS_gastric_adenocarcinoma,CL,AGS cell,AG14614 cell,epithelial cell of stomach,epithelial cell of stomach,stomach,stomach,AGS cell,AGS cell
PFSK1_primitive_neuroectodermal_tumor,CL,PFSK-1 cell,PFSK-1 cell,fibroblast,neoplastic cell,brain,central nervous system,-,PK-1 cell
HepG2 Hepatocellular Carcinoma Cell Line,CL,Hep G2 cell,Hep G2 cell,hepatocyte,hepatocyte,liver,liver,Hep-G2 cell,Hep-G2 cell
HN12,CL,-,-,squamous epithelial cell,squamous epithelial cell,tongue,cervical lymph node,HN-12 cell,HN-12 cell
KBM7-derived near haploid cells,CL,-,-,myeloid cell,myeloid cell,blood,blood,KBM-7 cell,KBM-7 cell
DLD1_WT,CL,DLD-1 cell,DLD-1 cell,colon epithelial cell,colon epithelial cell,colon,large intestine,DLD-1 cell,DLD-1 cell
HFF_foreskin_fibroblast_OHT_SHBPTF,CL,immortal human foreskin-derived fibroblast cell line cell,immortal human foreskin-derived fibroblast cell line cell,foreskin fibroblast,foreskin fibroblast,prepuce of penis,prepuce of penis,foreskin fibroblast cell line,foreskin fibroblast cell line
SET-2_insR_GSK-LSD1,CL,-,-,megakaryocyte progenitor cell,megakaryocyte progenitor cell,bone marrow,hematopoietic tissue,SET-2 cell,SET-2 cell
LOXIMVI,CL,-,-,epidermal melanocyte,epidermal melanocyte,skin epidermis,skin epidermis,LOX-IMVI cell,LOX-IMVI cell
SUM159PT-BT-474,CL,SUM159PT cell,-,mammary gland epithelial cell,mammary gland epithelial cell,breast,mammary gland,SUM-159PT cell,-
MCF7-Tet-On,CL,MCF7 cell,MCF7 cell,mammary gland epithelial cell,mammary gland epithelial cell,breast,mammary gland,MCF-7/2a cell,MCF-7/2a cell
BT549,CL,BT-549 cell,BT-549 cell,mammary gland epithelial cell,mammary gland epithelial cell,breast,mammary gland,BT-549 cell,BT-549 cell
MT4H1,CL,MT4 cell,MT4 cell,hematopoietic cell,"activated CD4-positive, alpha-beta T cell, human",blood,blood,MT-4 cell,MT-4 cell
cord blood derived cell line:COBL-a 24h infection(-C),CL,immortal human blood cell line cell,immortal human blood cell line cell,hematopoietic cell,hematopoietic cell,umbilical cord,umbilical cord,cord blood stem cell,cord blood stem cell
LNCaP_R1881 4h,CL,LNCAP cell,-,epithelial cell of prostate,epithelial cell of prostate,prostate gland,prostate gland,LNCaP cell,LNCaP cell
H3122_LR,CL,NCI-H3122 cell,-,epithelial cell of lung,epithelial cell of lung,lung,lung,-,-
SK-LMS-1_WT,CL,SK-LMS-1 cell,SK-LMS-1 cell,smooth muscle cell,smooth muscle cell,uterus,smooth muscle tissue,SK-LMS-1 cell,SK-LMS-1 cell
MaMel,CL,-,IGF039/92 cell,stromal cell,melanocyte,digestive system,skin epidermis,-,melanoma cell line
SNU638,CL,-,SNU-449 cell,glandular epithelial cell of stomach,glandular epithelial cell of stomach,stomach,stomach,SNU-638 cell,SNU-638 cell
H7 UTXKO,CL,human embryonic stem cell line cell,human embryonic stem cell line cell,embryonic stem cell,embryonic stem cell,-,inner cell mass,WA-07 cell,embryonic stem cell line
DU145_prostate_carcinoma,CL,DU 145 cell,-,epithelial cell of prostate,epithelial cell of prostate,prostate gland,prostate gland,DU-145 cell,DU-145 cell
WT 9-12_control_vehicle,CL,-,-,kidney cell,-,kidney,-,-,-
MCF10A_Nutlin3A,CL,MCF 10A cell,MCF 10A cell,mammary gland epithelial cell,mammary gland epithelial cell,breast,mammary gland,MCF-10A cell,MCF-10A cell
GLC16_DMSO,CL,-,GM15164 cell,epithelial cell of lung,epithelial cell of lung,lung,lung,-,-
A375 DMSO,CL,A-375 cell,-,epidermal melanocyte,-,skin epidermis,skin epidermis,A-375 cell,melanoma cell line
J4_Mantle cell lymphoma tissue_THZ1,CL,-,-,B cell,"lymphocyte of B lineage, CD19-positive",blood,lymph node,mantle cell lymphoma cell,mantle cell lymphoma cell
GIST-2_KIT e11,CL,-,GI95 cell,neural cell,interstitial cell of Cajal,digestive tract,alimentary part of gastrointestinal system,-,GI-102 cell
Neuroblastoma_NB1,CL,-,-,neuroblast (sensu Vertebrata),malignant cell,nervous system,adrenal medulla,NB-1 cell,neuroblastoma cell line
SK-N-BE_2_-C,CL,SK-N-BE(2)-C cell,-,neuroblast (sensu Vertebrata),neuroblast (sensu Vertebrata),nervous system,nervous system,SK-N-BE(2)C cell,SK-N-BE(2)C cell
H9_0Dox,CL,H9 cell,-,T cell,embryonic stem cell,blood,inner cell mass,H-9 cell,embryonic stem cell line
H1_Derived_Mesenchymal_Stem_Cells,CL,human embryonic stem cell line cell,human embryonic stem cell line cell,mesenchymal stem cell,mesenchymal stem cell,mesenchyme,-,mesenchymal stem cell,mesenchymal stem cell
SVOG3e_cells_noDox_transduced with V5-FOXL2 C134W,CL,-,-,granulosa cell,granulosa cell,ovary,ovary,SVOG-3e cell,SVOG-3e cell
TE5,CL,TE cell,TSHR-T5-51 cell,squamous epithelial cell,squamous epithelial cell,esophagus,esophagus,-,TE-13 cell
BT474,CL,BT-474 cell,BT-474 cell,mammary gland epithelial cell,mammary gland epithelial cell,breast,breast,BT-474 cell,BT-474 cell
lncaparmo-ar-dht100nm,CL,LNCAP cell,-,epithelial cell of prostate,epithelial cell of prostate,prostate gland,prostate gland,LNCaP cell,LNCaP cell
KLM-1,CL,RCB2138 cell,immortal human pancreas-derived epithelial cell line cell,pancreatic ductal cell,pancreatic ductal cell,pancreas,pancreas,pancreatic ductal adenocarcinoma cell line,pancreatic ductal adenocarcinoma cell line
OCI-LY19_diffuse_large_B-cell_lymphoma,CL,OCI-LY-19 cell,-,B cell,"lymphocyte of B lineage, CD19-positive",bone marrow,lymph node,-,-
GM12878 lymphoblastoid,CL,GM12878 cell,GM12778 cell,B cell,"lymphocyte of B lineage, CD19-positive",blood,blood,GM-12878 cell,GM-12878 cell
THP1_1_high,CL,THP-1 cell,THP-1 cell,monocyte,monocyte,blood,blood,THP-1 cell,THP-1 cell
SF767,CL,Tumor-derived cell line,Tumor-derived cell line,glial cell,astrocyte,brain,cerebral hemisphere,SF-767 cell,glioblastoma cell line
MCF-7_NS,CL,MCF7 cell,MCF7 cell,mammary gland epithelial cell,mammary gland epithelial cell,breast,mammary gland,MCF-7 cell,MCF-7 cell
NCI-H2107_p8-15,CL,NCI-H2107 cell,NCI-H2107 cell,epithelial cell of lung,malignant cell,lung,lung,-,-
MCF_7,CL,MCF7 cell,MCF7 cell,mammary gland epithelial cell,mammary gland epithelial cell,breast,mammary gland,MCF-7 cell,MCF-7 cell
MV411_DMSO,CL,MV-4-11 cell,-,macrophage,myeloid lineage restricted progenitor cell,blood,blood,MV-4-11 cell,MV-4-11 cell
osteoclastoma cell line:Hs 706.T,CL,Hs 706.T cell,Hs 706.Sk cell,bone marrow cell,neoplastic cell,bone marrow,bone marrow,-,HS-766T cell
clear cell carcinoma cell line:TEN,CL,RCB1433 cell,-,epithelial cell of uterus,epithelial cell of uterus,endometrium,-,-,-
NCI-H650,CL,NCI-H650 cell,NCI-H650 cell,epithelial cell of lung,-,lung,-,H-650 cell,-
LM7,CL,LM 7 cell,LM 7 cell,bone cell,-,bone tissue,bone tissue,osteosarcoma cell line,osteosarcoma cell line
MIC,CL,-,-,bone cell,-,bone tissue,-,-,-
cholangiocellular carcinoma cell line:HuH-28,CL,RCB1943 cell,-,cholangiocyte,cholangiocyte,liver,bile duct epithelium,-,T/C-28a2 cell
CCRF-CEM_T_acute_lymphoblastic_leukemia,CL,CCRF-CEM cell,CEM/C1 cell,T cell,T cell,blood,blood,CCRF-CEM cell,CEM-C1 cell
squamous cell lung carcinoma cell line:EBC-1,CL,RCB1965 cell,EB1 cell,squamous epithelial cell,squamous epithelial cell,lung,lung,EBC-1 cell,EBC-1 cell
GM15850 LCLs (FRDA),CL,GM15850 cell,-,lymphocyte of B lineage,lymphocyte of B lineage,blood,blood,lymphoblastoid cell line,lymphoblastoid cell line
RMS246_PAX3-NCOA1,CL,-,-,striated muscle cell,-,striated muscle tissue,striated muscle tissue,rhabdomyosarcoma cell,rhabdomyosarcoma cell
NT2-D1_embryonic_carcinoma,CL,NT2-D1 cell,-,pluripotent stem cell,germ cell,testis,testis,NT2/D1 cell,NT2/D1 cell
AG04450_fibroblasts,CL,AG04450 cell,AG04450 cell,fibroblast of lung,skin fibroblast,lung,dermis connective tissue,-,-
MOLM-13_sgSIK3e4,CL,MOLM-13 cell,GM13897 cell,myeloid cell,myeloid cell,blood,hematopoietic system,MOLM-13 cell,MOLM-13 cell
PC3_GSK126,CL,PC-3 cell,PC-3 cell,epithelial cell of prostate,epithelial cell of prostate,prostate gland,prostate gland,PC-3 cell,PC-3 cell
HCC1143_ductal_breast_carcinoma,CL,HCC1143 cell,HCC1143 cell,mammary gland epithelial cell,mammary gland epithelial cell,breast,mammary duct,-,HCC-1395 cell
SUIT2 WT,CL,SUIT-2 cell,BG1,epithelial cell of exocrine pancreas,epithelial cell of exocrine pancreas,exocrine pancreas,exocrine pancreas,SUIT-2 cell,SUIT-2 cell
HCC95_squamous_cell_lung_carcinoma,CL,-,HCC1395 cell,squamous epithelial cell,neoplastic cell,lung,lung,HCC-95 cell,HCC-95 cell
LK-2,CL,RCB1970 cell,LK-4 cell,squamous epithelial cell,squamous epithelial cell,lung,epithelium of bronchus,-,LK-87 cell
TE7,CL,TE7 cell,TE7 cell,squamous epithelial cell,squamous epithelial cell,esophagus,esophagus,-,TE-671 cell
NCI-H1299,CL,NCI-H1299 cell,-,epithelial cell of lung,epithelial cell of lung,lung,pulmonary lymph node,NCI-H1299 cell,NCI-H1299 cell
Human Podocyte Cell Line AB8/13,CL,-,-,kidney epithelial cell,kidney epithelial cell,glomerular capsule,renal glomerulus,podocyte,podocyte
GIST-T1,CL,-,GI95 cell,neural cell,-,stomach,stomach,-,T1 cell
KMS-11_Plasma_cell_myeloma,CL,-,ND11005 cell,plasma cell,plasma cell,bone marrow,bone marrow,KMS-11 cell,KMS-11/NTKO cell
MC-IXC,CL,MC-IXC cell,MC-IXC cell,fibroblast,-,brain,-,SK-N-MC-IXC cell,SK-N-MC-IXC cell
CLB-PE,CL,-,FIB-CL2 cell,neuroblast (sensu Vertebrata),-,nervous system,pes,-,-
mycosis fungoides T cell lymphoma cell line:HuT 102 TIB-162,CL,HuT 102 cell,HuT 102 cell,T cell,T cell,blood,skin of body,-,-
BGO3_embryonic_stem_cells,CL,human embryonic stem cell line cell,human embryonic stem cell line cell,embryonic stem cell,embryonic stem cell,embryo,embryo,embryonic stem cell line,embryonic stem cell line
MCF7L-P_FOXA1-Dox,CL,-,-,mammary gland epithelial cell,mammary gland epithelial cell,breast,breast,MCF-7 cell,MCF-7 cell
COBL-a,CL,-,RCB2651 cell,hematopoietic cell,neural cell,umbilical cord,central nervous system,-,-
HCC95,CL,-,-,squamous epithelial cell,squamous epithelial cell,lung,lung epithelium,HCC-95 cell,HCC-95 cell
HCC1428,CL,HCC1428 cell,-,mammary gland epithelial cell,mammary gland epithelial cell,breast,mammary gland,-,-
MCF7_Invasive_ductal_breast_carcinoma_CHX_10UM,CL,MCF7 cell,MCF7 cell,mammary gland epithelial cell,-,breast,mammary gland,MCF-7 cell,MCF-7 cell
peripheral neuroectodermal tumor cell line:KU-SN,CL,RCB1317 cell,KU812 cell,neural cell,neoplastic cell,bone tissue,peripheral nervous system,-,-
HCC1599_WO,CL,HCC1599 cell,-,mammary gland epithelial cell,mammary gland epithelial cell,breast,mammary gland,-,-
GIST-10_PDGFRA e1,CL,-,-,neural cell,mesenchymal cell,digestive tract,digestive tract,-,-
GP5d_colon_adenocarcinoma_SIRAD21,CL,GP5d cell,GP5d cell,colon epithelial cell,colon epithelial cell,colon,epithelium of large intestine,-,GP-202 cell
SK-MEL-147,CL,-,SK-MEL-31 cell,melanocyte,melanocyte,skin epidermis,skin epidermis,-,-
SHEP-21N_DOX_2h,CL,-,23A-5-21S cell,neuroblast (sensu Vertebrata),sympathetic cholinergic neuron,nervous system,adrenal medulla,Tet21N cell,-
OECM1_oral_cavity_squamous_cell_carcinoma,CL,-,ND01511 cell,squamous epithelial cell,neoplastic cell,gingiva,oral cavity,OECM-1 cell,OCM-1 cell
EW-3,CL,-,-,bone cell,neoplastic cell,bone tissue,bone tissue of long bone,Ewing's sarcoma family tumor cell line,Ewing's sarcoma family tumor cell line
GM19240_B_cells_Lymphoblastoid_Cell_Lines,CL,GM19240 cell,-,B cell,B-lymphoblast,blood,blood,B-lymphoblastoid cell line,B-lymphoblastoid cell line
IOE11,CL,-,-,ovarian surface epithelial cell,-,ovary,-,-,-
LNCaP_prostate_carcinoma_SHFOXA1_PHFRPMIFCS,CL,LNCAP cell,-,epithelial cell of prostate,epithelial cell of prostate,prostate gland,prostate gland,LNCaP cell,LNCaP clone FGC
MM1_S_plasma_cell_myeloma,CL,MM.1S cell,IGF011/00 cell,lymphocyte of B lineage,plasma cell,blood,bone marrow,MM1-S cell,MM-1 cell
PF-382_childhood_T_acute_lymphoblastic_leukemia,CL,PF-382 cell,PF-382 cell,T cell,T cell,blood,bone marrow,-,P-388D1 cell
KK1_Adult_T_acute_lymphoblastic_leukemia,CL,-,TK-1 cell,T cell,lymphoblast,blood,hematopoietic tissue,-,-
H1-TRO,CL,immortal human trophoblast cell line cell,immortal human trophoblast cell line cell,trophoblast cell,trophoblast cell,embryo,placenta,trophoblast,trophoblast
ES-UCSF4 Cells,CL,human embryonic stem cell line cell,human embryonic stem cell line cell,embryonic stem cell,embryonic stem cell,embryo,-,embryonic stem cell line,embryonic stem cell line
myxofibrosarcoma cell line:MFH-ino,CL,RCB0749 cell,-,malignant cell,malignant cell,connective tissue,connective tissue,-,-
lncaparhi-ar-dht1nm,CL,LNCAP cell,-,epithelial cell of prostate,epithelial cell of prostate,prostate gland,prostate gland,LNCaP cell,LNCaP clone FGC
BJ_fibroblasts,CL,BJ cell,immortal human foreskin-derived fibroblast cell line cell,foreskin fibroblast,foreskin fibroblast,prepuce of penis,prepuce of penis,BJ cell,foreskin fibroblast cell line
MCF7L-P_E2_24h,CL,MCF7 cell,MCF7 cell,mammary gland epithelial cell,mammary gland epithelial cell,breast,mammary gland,MCF-7 cell,MCF-7 cell
D341_6,CL,D341 Med cell,DA01341 cell,neural cell,-,cerebellum,-,-,-
HepG2_Hepatocellular_Carcinoma,CL,Hep G2 cell,Hep G2 cell,hepatocyte,hepatocyte,liver,liver,Hep-G2 cell,Hep-G2 cell
gm18505,CL,GM18505 cell,-,B cell,B-lymphoblast,blood,-,B-lymphoblastoid cell line,B-lymphoblastoid cell line
Raji_JQ1,CL,Raji cell,Raji cell,B cell,B cell,blood,lymph node germinal center,RAJI cell,-
Ly-1,CL,-,Lym-1 cell,B cell,"lymphocyte of B lineage, CD19-positive",blood,lymph node,lymphoma cell line,lymphoma cell line
IMR90_lung_fibroblasts_TNF,CL,IMR-90 cell,IMR-90 cell,fibroblast of lung,fibroblast of lung,lung,lung,IMR-90 cell,IMR-90 cell
